"id","stratum","stratum_N","weight"
"W6966600277","french",233170,310.893333333333
"W3025401023","french",233170,310.893333333333
"W2408889790","french",233170,310.893333333333
"W2553447544","french",233170,310.893333333333
"W4239414470","french",233170,310.893333333333
"W2151420267","french",233170,310.893333333333
"W7010446827","french",233170,310.893333333333
"W4395459903","french",233170,310.893333333333
"W2025368948","french",233170,310.893333333333
"W2336927194","french",233170,310.893333333333
"W1938027545","french",233170,310.893333333333
"W7028262356","french",233170,310.893333333333
"W4235437936","french",233170,310.893333333333
"W4381328111","french",233170,310.893333333333
"W6907844297","french",233170,310.893333333333
"W1600346892","french",233170,310.893333333333
"W6947812730","french",233170,310.893333333333
"W4231735146","french",233170,310.893333333333
"W2768191565","french",233170,310.893333333333
"W6998563584","french",233170,310.893333333333
"W1552310924","french",233170,310.893333333333
"W2784443401","french",233170,310.893333333333
"W4404574540","french",233170,310.893333333333
"W1965304540","french",233170,310.893333333333
"W2030448795","french",233170,310.893333333333
"W600868183","french",233170,310.893333333333
"W6936668818","french",233170,310.893333333333
"W7045987939","french",233170,310.893333333333
"W2559888444","french",233170,310.893333333333
"W2735774412","french",233170,310.893333333333
"W6992351604","french",233170,310.893333333333
"W7053225933","french",233170,310.893333333333
"W4399874010","french",233170,310.893333333333
"W2617284200","french",233170,310.893333333333
"W4206668330","french",233170,310.893333333333
"W7130573387","french",233170,310.893333333333
"W2168094635","french",233170,310.893333333333
"W7020452580","french",233170,310.893333333333
"W3127136543","french",233170,310.893333333333
"W7010091696","french",233170,310.893333333333
"W1629642456","french",233170,310.893333333333
"W6999370483","french",233170,310.893333333333
"W2615926374","french",233170,310.893333333333
"W3015120723","french",233170,310.893333333333
"W7029700042","french",233170,310.893333333333
"W2715652697","french",233170,310.893333333333
"W3134106785","french",233170,310.893333333333
"W1785986601","french",233170,310.893333333333
"W1995445944","french",233170,310.893333333333
"W2964381428","french",233170,310.893333333333
"W7057617765","french",233170,310.893333333333
"W221818283","french",233170,310.893333333333
"W3170588239","french",233170,310.893333333333
"W6992249872","french",233170,310.893333333333
"W2124102387","french",233170,310.893333333333
"W3197454173","french",233170,310.893333333333
"W4412070438","french",233170,310.893333333333
"W2944870478","french",233170,310.893333333333
"W3175898174","french",233170,310.893333333333
"W2606909087","french",233170,310.893333333333
"W3128229421","french",233170,310.893333333333
"W7064642785","french",233170,310.893333333333
"W4221103062","french",233170,310.893333333333
"W2195207056","french",233170,310.893333333333
"W2602330300","french",233170,310.893333333333
"W6885044580","french",233170,310.893333333333
"W2617459620","french",233170,310.893333333333
"W4394805952","french",233170,310.893333333333
"W4414000667","french",233170,310.893333333333
"W2977334617","french",233170,310.893333333333
"W4399820355","french",233170,310.893333333333
"W2916745715","french",233170,310.893333333333
"W7115360382","french",233170,310.893333333333
"W6948788425","french",233170,310.893333333333
"W4234802015","french",233170,310.893333333333
"W3036287039","french",233170,310.893333333333
"W6936466777","french",233170,310.893333333333
"W7020588864","french",233170,310.893333333333
"W172397282","french",233170,310.893333333333
"W3160465770","french",233170,310.893333333333
"W1587083644","french",233170,310.893333333333
"W2799523781","french",233170,310.893333333333
"W65294796","french",233170,310.893333333333
"W4387337217","french",233170,310.893333333333
"W2414047296","french",233170,310.893333333333
"W4386552951","french",233170,310.893333333333
"W2159274996","french",233170,310.893333333333
"W1990979946","french",233170,310.893333333333
"W6981722997","french",233170,310.893333333333
"W2133696617","french",233170,310.893333333333
"W2931718085","french",233170,310.893333333333
"W2332788132","french",233170,310.893333333333
"W2008402763","french",233170,310.893333333333
